surname,wins
Hamilton,103
Schumacher,91
Vettel,53
Prost,51
Verstappen,45
Senna,41
Alonso,32
Mansell,31
Stewart,27
Lauda,25
Clark,25
Fangio,24
Piquet,23
Rosberg,23
Hill,22
Räikkönen,21
Häkkinen,20
Moss,16
Button,15
Hill,14
Brabham,14
Fittipaldi,14
Coulthard,13
Ascari,13
Jones,12
Andretti,12
Reutemann,12
Villeneuve,11
Barrichello,11
Massa,11
Hunt,10
Peterson,10
Berger,10
Scheckter,10
Bottas,10
Webber,9
Ricciardo,8
Ickx,8
Hulme,8
Pablo Montoya,7
Arnoux,7
Schumacher,6
Pérez,6
Villeneuve,6
Laffite,6
Patrese,6
Surtees,6
Rindt,6
Brooks,6
Farina,5
Alboreto,5
Rosberg,5
Regazzoni,5
Watson,5
Leclerc,5
Gurney,4
McLaren,4
Irvine,4
Herbert,3
Hill,3
Pironi,3
Hawthorn,3
Boutsen,3
Collins,3
Fisichella,3
Frentzen,3
Trintignant,2
Vukovich,2
González,2
von Trips,2
Rodríguez,2
de Angelis,2
Tambay,2
Jabouille,2
Siffert,2
Revson,2
Depailler,2
Parsons,1
Trulli,1
Taruffi,1
Ruttman,1
Wallard,1
Fagioli,1
Maldonado,1
Nilsson,1
Pace,1
Kovalainen,1
Kubica,1
Gasly,1
Ocon,1
Sainz,1
Nannini,1
Flaherty,1
Sweikert,1
Panis,1
Scarfiotti,1
Ginther,1
Bandini,1
Cevert,1
Gethin,1
Baghetti,1
Ireland,1
Rathmann,1
Ward,1
Bonnier,1
Alesi,1
Beltoise,1
Bryan,1
Brambilla,1
Mass,1
Hanks,1
Musso,1
Russell,1
